fecha_hora,P_sum,P_mean,P_std
2015-01-04,0.0575625,0.014390625,0.028781250000000005
2015-01-11,0.2628333333333333,0.03754761904761905,0.0993416623225919
2015-01-18,2.935111111111111,0.41930158730158734,0.8479607301535577
2015-01-25,42.42766666666668,6.06109523809524,11.763202758912582
2015-02-01,6.434666666666665,0.9219259259259256,1.6677572316873446
2015-02-08,10.676666666666662,1.5252380952380948,2.436506843216845
2015-02-15,40.81422222222221,5.8306031746031755,9.77116375325796
2015-02-22,13.77244444444445,1.967492063492064,4.509053196914058
2015-03-01,6.759222222222223,0.9656031746031744,1.770656571830895
2015-03-08,1.1006666666666665,0.15723809523809526,0.3590900557847885
2015-03-15,2.859277777777778,0.40846825396825387,0.8741447603964017
2015-03-22,58.180111111111096,8.311444444444446,9.705358517967014
2015-03-29,18.824222222222218,2.6891746031746027,5.450270954875567
2015-04-05,39.017222222222216,5.573888888888887,6.502770019620875
2015-04-12,39.087777777777795,5.583968253968255,8.761814174447196
2015-04-19,37.74722222222223,5.392460317460316,6.513192988923905
2015-04-26,4.924777777777777,0.7035396825396824,1.3437919129383245
2015-05-03,9.256888888888888,1.3224126984126987,3.19297712444939
2015-05-10,6.208888888888887,0.8869841269841268,2.1960802138001685
2015-05-17,7.111999999999998,1.016,1.9924225533393753
2015-05-24,21.674666666666653,3.09638095238095,3.5894422782352158
2015-05-31,87.64411111111112,12.520587301587303,13.188267850240017
2015-06-07,4.07811111111111,0.5825873015873015,1.4372245459563802
2015-06-14,36.42077777777777,5.202968253968252,8.3833410503766
2015-06-21,5.870222222222219,0.8386031746031741,2.169843252163811
2015-06-28,1.0442222222222222,0.14917460317460318,0.3887861655858857
2015-07-05,0.0,0.0,0.0
2015-07-12,8.977111111111109,1.282444444444444,1.986559538319142
2015-07-19,54.708777777777776,7.815539682539684,8.185859531079611
2015-07-26,31.14677777777776,4.4495396825396805,7.674734703034754
2015-08-02,8.367888888888885,1.195412698412698,2.2708620458647855
2015-08-09,20.688166666666675,2.955452380952382,6.6331972401617785
2015-08-16,13.518444444444437,1.9312063492063483,3.885759258667927
2015-08-23,28.33733333333332,4.048190476190474,4.469517417775542
2015-08-30,29.3652222222222,4.261958730158728,4.434180262511171
2015-09-06,10.823222222222219,1.5629735449735447,2.845379660232401
2015-09-13,9.731388888888885,1.3901984126984126,2.433864105116865
2015-09-20,35.018499999999996,5.002642857142858,6.870967832964812
2015-09-27,0.11533333333333334,0.016476190476190478,0.03825840387904511
2015-10-04,31.490722222222207,4.498674603174601,7.65009151424669
2015-10-11,11.10788888888888,1.5868412698412688,3.1755876718761056
2015-10-18,58.64577777777778,8.377968253968255,9.406601717289584
2015-10-25,35.37655555555555,5.05379365079365,7.494665639886007
2015-11-01,30.169555555555558,4.360333333333333,6.246007858599386
2015-11-08,53.2271111111111,7.603873015873012,11.532464562155191
2015-11-15,10.978444444444433,1.5683492063492048,3.7946931541895816
2015-11-22,23.621999999999996,3.3745714285714286,4.1386809377995055
2015-11-29,24.722666666666655,3.5318095238095224,4.504971777829689
2015-12-06,1.2841111111111112,0.18478835978835984,0.35419676441188724
2015-12-13,0.22577777777777777,0.03225396825396826,0.08533597879497219
2015-12-20,12.587111111111106,1.7981587301587298,2.7349616958951004
2015-12-27,0.0,0.0,0.0
2016-01-03,14.12522222222222,2.017888888888889,3.3820861987102067
2016-01-10,36.92877777777777,5.275539682539684,9.702798904629155
2016-01-17,0.08466666666666667,0.012095238095238096,0.032000992048114574
2016-01-24,10.969666666666663,1.5670952380952379,4.0813624056425635
2016-01-31,0.9174444444444444,0.13106349206349208,0.33560719291060476
2016-02-07,3.6344444444444446,0.5192063492063492,1.2170606325590785
2016-02-14,10.747388888888885,1.5353412698412692,3.159629409718279
2016-02-21,24.0677222222222,3.4382460317460293,5.757685903845868
2016-02-28,4.4256111111111105,0.6322301587301586,1.4913709187093738
2016-03-06,2.8346111111111103,0.4049444444444444,0.897268383856718
2016-03-13,31.27633333333333,4.468047619047619,5.778505925483508
2016-03-20,17.99749999999999,2.5710714285714276,4.111920956335995
2016-03-27,3.52,0.5028571428571429,1.1276991349042558
2016-04-03,39.70461111111112,5.6720873015873,8.51937618439004
2016-04-10,31.760666666666655,4.537238095238093,5.259535224015039
2016-04-17,27.031722222222243,3.861674603174606,8.430545320410785
2016-04-24,14.643555555555553,2.0919365079365075,5.046702011094359
2016-05-01,46.68222222222223,6.880655158730158,8.690228157564935
2016-05-08,48.43594444444444,6.919420634920634,6.9822572806957774
2016-05-15,46.46394444444445,6.637706349206351,11.818097805667641
2016-05-22,6.249055555555555,0.892722222222222,1.7983897433727998
2016-05-29,32.01927777777779,4.57418253968254,9.305008722245368
2016-06-05,64.83144444444443,9.320214285714282,11.491363516583837
2016-06-12,15.883888888888881,2.269126984126983,3.7966931435672766
2016-06-19,11.065555555555555,1.5807936507936502,2.394420196237729
2016-06-26,25.732470588235287,3.676067226890755,6.19280998028794
2016-07-03,16.751,2.393,3.218145285541284
2016-07-10,32.33647058823528,4.6618291316526586,6.15532451888128
2016-07-17,36.79824999999998,5.256892857142854,4.956020229875298
2016-07-24,7.858124999999996,1.122589285714285,1.8897713095519186
2016-07-31,3.572933333333333,0.5104190476190476,0.7590577611092756
2016-08-07,15.598411764705876,2.228344537815125,1.9474193533920268
2016-08-14,20.0801111111111,2.8685873015873,3.7528619175286004
2016-08-21,19.935222222222208,2.847888888888887,4.4090473185989545
2016-08-28,53.31177777777776,7.615968253968251,10.85905782406362
2016-09-04,45.81877777777779,6.545539682539683,7.404734652277641
