fecha_hora_,Temperatura_max,Temperatura_min,Temperatura_mean,codigo
2013-04-16,30.4,18.6,23.641225626740876,201
2013-04-17,27.8,19.4,22.612925642807415,201
2013-04-18,26.7,17.4,20.374513888888863,201
2013-04-19,24.8,17.5,19.765478686233525,201
2013-04-20,27.2,17.0,19.9240277777778,201
2013-04-21,24.5,17.2,20.100557103064023,201
2013-04-22,28.0,18.1,21.060875608061114,201
2013-04-23,27.8,18.0,21.822569444444415,201
2013-04-24,28.5,18.3,22.09318497913774,201
2013-04-25,28.4,18.1,22.645321229050264,201
2013-04-26,27.4,17.6,20.91010526315787,201
2013-04-27,27.1,16.9,20.832430555555582,201
2013-04-28,27.7,18.6,21.251319444444444,201
2013-04-29,22.8,17.3,20.24819444444443,201
2013-04-30,27.8,17.4,21.14027777777773,201
2013-05-01,25.3,18.5,20.76479166666666,201
2013-05-02,25.6,18.9,20.762666666666593,201
2013-05-03,26.6,16.9,21.056066945606723,201
2013-05-04,29.0,17.3,21.159638135003476,201
2013-05-05,26.0,16.8,19.47752965805997,201
2013-05-06,25.1,17.2,20.789832869080758,201
2013-05-07,24.4,18.1,19.852878464818808,201
2013-05-08,27.0,17.3,21.42871080139372,201
2013-05-09,27.8,18.3,21.902721563154255,201
2013-05-10,26.0,17.2,21.402990264255898,201
2013-05-11,27.4,19.0,22.361736111111053,201
2013-05-12,27.8,18.4,22.798333333333286,201
2013-05-13,27.3,18.7,21.887916666666634,201
2013-05-14,28.6,19.3,22.921180555555534,201
2013-05-15,25.7,18.4,20.289477401129933,201
2013-05-16,27.4,18.4,20.749511854951212,201
2013-05-17,23.7,17.3,20.114513888888887,201
2013-05-18,28.6,18.5,22.013273106323915,201
2013-05-19,29.5,19.1,23.181111111111043,201
2013-05-20,25.6,17.8,20.90229166666667,201
2013-05-21,27.8,17.5,20.122916666666633,201
2013-05-22,26.0,16.0,19.77715277777782,201
2013-05-23,26.2,16.7,19.877083333333363,201
2013-05-24,26.7,16.6,21.010625000000044,201
2013-05-25,27.3,18.0,22.36486111111107,201
2013-05-26,27.3,18.6,21.756111111111178,201
2013-05-27,29.1,19.3,21.96791666666668,201
2013-05-28,27.0,18.3,21.25222222222223,201
2013-05-29,24.4,17.6,20.388333333333257,201
2013-05-30,26.1,17.5,20.476805555555508,201
2013-05-31,24.7,16.9,20.012222222222174,201
2013-06-01,28.9,16.8,20.516458333333308,201
2013-06-02,28.7,18.2,22.66548611111115,201
2013-06-03,28.6,18.9,23.08219749652293,201
2013-06-04,28.6,18.4,23.514315496872715,201
2013-06-05,27.9,17.9,22.58187499999998,201
2013-06-06,26.6,18.4,21.598680555555536,201
2013-06-07,28.5,17.8,22.755624999999984,201
2013-06-08,28.4,18.1,23.30218772053627,201
2013-06-09,28.7,18.4,23.47438672438674,201
2013-06-10,28.7,19.6,23.102698650674707,201
2013-06-11,28.0,18.6,21.856598240469225,201
2013-06-12,28.1,17.5,20.83389679715295,201
2013-06-13,28.9,17.6,22.55629784272786,201
2013-06-14,26.8,18.1,21.351716888577457,201
2013-06-15,27.4,17.9,21.537964912280753,201
2013-06-16,29.3,17.0,22.654065323141044,201
2013-06-17,28.4,18.2,22.580624999999895,201
2013-06-18,28.8,17.9,22.6285615010424,201
2013-06-19,27.4,19.6,22.608547602501734,201
2013-06-20,28.0,18.7,23.06576388888887,201
2013-06-21,28.7,18.2,23.04055555555557,201
2013-06-22,28.6,19.7,23.190277777777727,201
2013-06-23,29.4,19.2,23.552222222222266,201
2013-06-24,27.8,16.7,20.997291666666634,201
2013-06-25,26.5,16.7,21.111821974965167,201
2013-06-26,28.9,18.2,23.224583333333285,201
2013-06-27,27.5,18.8,22.109513888888873,201
2013-06-28,24.2,16.1,19.98312324929971,201
2013-06-29,24.9,17.8,21.009527121001405,201
2013-06-30,25.2,16.2,20.45604166666668,201
2013-07-01,24.2,17.0,19.442638888888897,201
2013-07-02,28.3,15.8,21.470486111111097,201
2013-07-03,25.2,18.9,21.193958333333324,201
2013-07-04,25.9,16.1,21.013472222222227,201
2013-07-05,24.4,17.9,20.483958333333337,201
2013-07-06,28.1,17.1,22.21640027797082,201
2013-07-07,28.6,17.0,22.341278665740095,201
2013-07-08,28.4,15.8,21.99729166666667,201
2013-07-09,27.5,17.1,22.08423611111111,201
2013-07-10,27.5,19.0,22.46486111111116,201
2013-07-11,27.5,18.4,22.278760445682465,201
2013-07-12,27.3,18.1,22.215763888888873,201
2013-07-13,27.8,17.9,22.137064492216467,201
2013-07-14,28.9,18.2,22.37572580645162,201
2013-07-15,26.0,18.7,21.79246771879488,201
2013-07-16,29.1,17.2,23.25599435825107,201
2013-07-17,28.9,19.0,23.54689807976366,201
2013-07-18,27.9,18.3,23.073478587528164,201
2013-07-19,26.8,18.2,21.567691208005744,201
2013-07-20,26.3,18.7,21.918586572438116,201
2013-07-21,28.5,18.3,23.290233545647542,201
2013-07-22,27.3,18.3,21.91653255303586,201
2013-07-23,28.1,17.7,22.548122605363957,201
2013-07-24,29.5,18.0,23.461771217712187,201
2013-07-25,29.1,18.4,23.918464880521366,201
2013-07-26,27.6,18.9,22.45387840670856,201
2013-07-27,29.1,17.1,22.667180925666173,201
2013-07-28,28.5,18.4,23.647394366197204,201
2013-07-29,28.8,19.7,23.994088669950774,201
2013-07-30,26.8,19.3,22.641987403778764,201
2013-07-31,29.3,18.2,23.168204053109747,201
2013-08-01,28.1,17.5,21.55800561797754,201
2013-08-02,26.9,15.9,20.922791023842922,201
2013-08-03,28.5,16.5,22.35696291112663,201
2013-08-04,28.9,18.0,23.577482517482483,201
2013-08-05,28.7,18.1,22.87036516853935,201
2013-08-06,27.1,18.7,22.180822981366454,201
2013-08-07,26.0,18.7,21.226190476190435,201
2013-08-08,23.4,16.5,20.14471544715444,201
2013-08-09,27.3,15.9,20.31375698324025,201
2013-08-10,28.5,16.8,19.763073713491004,201
2013-08-11,25.8,16.1,19.669722222222184,201
2013-08-12,26.1,17.2,20.30180555555562,201
2013-08-13,24.6,16.0,19.425416666666674,201
2013-08-14,29.0,18.2,22.964791666666688,201
2013-08-15,28.1,19.2,23.20993055555556,201
2013-08-16,27.7,19.1,22.623888888888793,201
2013-08-17,28.1,16.9,21.890069444444457,201
2013-08-18,24.7,16.8,19.841388888888883,201
2013-08-19,25.4,18.1,20.912430555555538,201
2013-08-20,28.2,17.6,21.933125000000032,201
2013-08-21,28.4,18.7,22.349027777777785,201
2013-08-22,27.4,17.3,21.88555555555553,201
2013-08-23,27.9,18.3,22.449236111111038,201
2013-08-24,25.5,17.8,21.038888888888895,201
2013-08-25,27.4,17.1,21.35069444444443,201
2013-08-26,28.3,15.9,21.26395833333331,201
2013-08-27,27.5,17.1,21.455833333333285,201
2013-08-28,28.4,18.0,23.210555555555523,201
2013-08-29,26.7,17.8,21.71153578874214,201
2013-08-30,27.3,18.6,22.343472222222253,201
2013-08-31,28.1,18.1,23.007777777777765,201
2013-09-01,27.1,17.5,21.590694444444456,201
2013-09-02,26.9,16.5,21.510416666666647,201
2013-09-03,27.1,16.2,19.741458333333394,201
2013-09-04,23.5,17.0,19.942638888888936,201
2013-09-05,27.7,17.2,20.30917303683106,201
2013-09-06,23.7,17.1,19.25791666666659,201
2013-09-07,25.9,17.2,20.13451388888889,201
2013-09-08,27.5,18.1,21.559388038943,201
2013-09-09,26.3,18.0,21.0680555555555,201
2013-09-10,25.8,16.6,20.914513888888877,201
2013-09-11,24.7,17.7,20.566597222222224,201
2013-09-12,27.5,17.2,19.825833333333378,201
2013-09-13,27.1,17.4,20.90909722222218,201
2013-09-14,26.6,18.6,21.918958333333336,201
2013-09-15,29.1,19.0,23.572948539638347,201
2013-09-16,29.3,19.2,24.15013888888884,201
2013-09-17,27.3,19.0,22.355416666666677,201
2013-09-18,27.9,19.4,22.752851182197496,201
2013-09-19,28.2,19.2,22.610006949270343,201
2013-09-20,28.6,17.1,22.937552155771872,201
2013-09-21,29.7,18.3,23.470694444444497,201
2013-09-22,29.2,19.1,23.43749999999998,201
2013-09-23,29.6,20.0,24.308750000000003,201
2013-09-24,29.8,17.8,23.178333333333324,201
2013-09-25,28.0,19.1,23.556180555555578,201
2013-09-26,27.1,19.1,21.09138888888903,201
2013-09-27,26.4,17.1,20.626522043386995,201
2013-09-28,26.7,15.9,19.68895833333331,201
2013-09-29,26.9,17.9,20.850624999999997,201
2013-09-30,25.8,16.7,20.643240901213144,201
2013-10-01,24.7,16.6,19.992561403508777,201
2013-10-02,29.0,17.2,21.437499999999996,201
2013-10-03,26.2,18.4,21.367083333333255,201
2013-10-04,25.2,16.0,19.821696801112644,201
2013-10-05,28.5,17.7,22.67611940298512,201
2013-10-06,29.5,17.4,23.074236111111098,201
2013-10-07,27.7,18.1,22.4455687369156,201
2013-10-08,28.3,17.3,22.52479166666673,201
2013-10-09,28.6,19.6,23.46201388888885,201
2013-10-10,28.0,16.4,22.312916666666673,201
2013-10-11,26.8,16.3,20.687013888888828,201
2013-10-12,27.2,18.5,21.342205056179797,201
2013-10-13,26.5,15.9,20.289950460014076,201
2013-10-14,20.9,17.4,18.835355648535664,201
2013-10-15,28.3,18.0,21.149032738095197,201
2013-10-16,22.3,17.8,19.79861111111113,201
2013-10-17,26.0,17.2,20.805763888888873,201
2013-10-18,28.2,18.1,20.946105702364388,201
2013-10-19,29.2,17.6,22.68833333333329,201
2013-10-20,27.2,18.8,22.268263888888903,201
2013-10-21,25.3,17.9,20.569166666666675,201
2013-10-22,25.4,16.9,20.207083333333323,201
2013-10-23,26.1,18.2,20.79590277777772,201
2013-10-24,27.8,17.9,21.657928118393205,201
2013-10-25,28.4,18.8,22.498750000000012,201
2013-10-26,26.4,18.2,22.025156794425055,201
2013-10-27,26.0,17.8,20.835927727588604,201
2013-10-28,27.9,17.9,21.949338900487128,201
2013-10-29,27.5,18.5,21.253107344632745,201
2013-10-30,27.7,19.6,22.5,201
2013-10-31,26.0,16.7,20.58263888888889,201
2013-11-01,25.6,16.1,20.573402777777737,201
2013-11-02,26.8,16.0,21.029791666666693,201
2013-11-03,25.7,15.8,20.48304378040312,201
2013-11-04,26.6,15.8,19.05243055555556,201
2013-11-05,27.1,15.9,19.51930555555551,201
2013-11-06,27.7,15.9,20.15041666666668,201
2013-11-07,24.2,16.0,19.31506944444441,201
2013-11-08,26.9,17.2,20.42381944444445,201
2013-11-09,25.6,17.6,21.05314136125658,201
2013-11-10,25.4,18.3,20.407013888888905,201
2013-11-11,29.2,18.3,22.390069444444404,201
2013-11-12,27.9,18.2,22.270277777777764,201
2013-11-13,28.9,17.4,22.35577190542427,201
2013-11-14,27.9,18.1,22.19168994413405,201
2013-11-15,27.8,18.0,22.251041666666666,201
2013-11-16,27.6,18.7,22.828819444444413,201
2013-11-17,28.6,18.8,22.081145251396574,201
2013-11-18,27.6,17.9,21.43513888888887,201
2013-11-19,26.0,17.4,20.61472222222215,201
2013-11-20,24.5,16.7,19.67097222222225,201
2013-11-21,27.3,18.2,21.214066852367672,201
2013-11-22,27.6,17.2,21.170972222222197,201
2013-11-23,26.9,18.7,20.613819444444427,201
